epoch,train loss,train acc,val loss,val acc
0,1.4556782245635986,0.22135416666666666,1.491544246673584,0.1875
1,1.4609402418136597,0.3046875,1.3684375882148743,0.265625
2,1.4274033904075623,0.2421875,1.3908164501190186,0.1875
3,1.3998028735319774,0.2786458333333333,1.2569903433322906,0.46875
4,1.4057902296384175,0.2916666666666667,1.23329496383667,0.421875
5,1.3613507350285847,0.3255208333333333,1.2744660377502441,0.484375
6,1.3732148309548695,0.3619791666666667,1.305509626865387,0.578125
7,1.330028126637141,0.3828125,1.2864097356796265,0.515625
8,1.3412029643853505,0.3567708333333333,1.2993792295455933,0.5625
9,1.3248882790406544,0.3802083333333333,1.298653781414032,0.5625
