epoch,train loss,train acc,val loss,val acc
0,1.5315480530261993,0.2630208333333333,1.826872706413269,0.15625
1,1.478576918443044,0.24479166666666666,1.6007051467895508,0.1875
2,1.4303774336973827,0.2734375,1.3580943942070007,0.203125
3,1.4183552364508312,0.2604166666666667,1.258152425289154,0.578125
4,1.4216237266858418,0.2578125,1.4053987264633179,0.140625
5,1.37477112809817,0.3020833333333333,1.2911537289619446,0.578125
6,1.3759091993172963,0.2916666666666667,1.3389719128608704,0.375
7,1.374734342098236,0.3020833333333333,1.3440240025520325,0.546875
8,1.3441406786441803,0.3489583333333333,1.2737297415733337,0.484375
9,1.3186235129833221,0.4140625,1.277177095413208,0.515625
