epoch,train loss,train acc,val loss,val acc
0,1.3526037754551057,0.3397177419354839,1.3618047965897455,0.3385416666666667
1,1.3440903755926317,0.3445564516129032,1.367233716779285,0.3368055555555556
2,1.3350465266935287,0.35100806451612904,1.3465412987603083,0.3524305555555556
3,1.3371652764658775,0.3532258064516129,1.3262782759136624,0.3680555555555556
4,1.3069190648294264,0.37721774193548385,1.3113808631896973,0.3802083333333333
5,1.271160130346975,0.4155241935483871,1.1691030164559681,0.5173611111111112
6,1.1189021833481327,0.5179435483870968,1.0412499772177801,0.5173611111111112
7,1.0340473442308364,0.5558467741935483,0.9445690347088708,0.5659722222222222
8,0.9890203729752571,0.5828629032258065,0.9289420660999086,0.6267361111111112
9,0.951199508097864,0.6090725806451613,0.8675465136766434,0.6527777777777778
10,0.905356736336985,0.6256048387096774,0.8313271717892753,0.6666666666666666
11,0.8909140829117067,0.6340725806451613,0.9495632217990028,0.6354166666666666
12,0.8591791360608994,0.6566532258064516,0.7801213065783182,0.7083333333333334
13,0.849899828145581,0.6639112903225807,0.793523927529653,0.7083333333333334
14,0.8249977096434562,0.6745967741935484,0.7808074520693885,0.703125
15,0.8129258323100306,0.6715725806451613,0.8440091576841142,0.671875
16,0.7924943470185802,0.6824596774193549,0.7078834126393,0.7204861111111112
17,0.7747363801925413,0.6862903225806452,0.710519994298617,0.7447916666666666
18,0.7823846190206466,0.6858870967741936,0.7641277006930776,0.7048611111111112
19,0.7715469639147482,0.6889112903225807,0.6643655581606759,0.7361111111111112
20,0.7316866040349969,0.7086693548387096,0.7103359368112352,0.7239583333333334
21,0.748099357658817,0.7002016129032258,0.767286534110705,0.7013888888888888
22,0.7149660243142035,0.713508064516129,0.7390337776806619,0.7239583333333334
23,0.7243470266942055,0.7137096774193549,0.6570426722367605,0.7638888888888888
24,0.6875601278197381,0.7340725806451613,0.6271929923031065,0.7395833333333334
25,0.6747689926335888,0.7306451612903225,0.6426865988307529,0.7586805555555556
26,0.6528079949079021,0.7445564516129032,0.6103255185816023,0.7621527777777778
27,0.6530507308821525,0.7504032258064516,0.5926180763377084,0.7552083333333334
28,0.6517290276865806,0.7364919354838709,0.591142045127021,0.75
29,0.6365682823523399,0.7518145161290323,0.6504116484688388,0.7447916666666666
30,0.621995413976331,0.7568548387096774,0.5191508796479967,0.8142361111111112
31,0.6232428037351178,0.7550403225806451,0.587779861357477,0.8020833333333334
32,0.5943865308838506,0.7669354838709678,0.585591234266758,0.7743055555555556
